Name,Total Paid Claims,Total Claim Dollars Paid
Cattaraugus,0,$0.00
Chautauqua,0,$0.00
Suffolk,36,$396008.69
Jefferson,0,$0.00
Erie,19,$233381.09
Wyoming,0,$0.00
Orleans,0,$0.00
Monroe,7,$128575.01
St. Lawrence,0,$0.00
Nassau,45,$412972.48
Queens,9,$47696.86
Saratoga,5,$28701.15
Albany,3,$21570.33
Niagara,23,$149229.27
Essex,2,$4440.67
Fulton,0,$0.00
Herkimer,142,$2032761.22
Rockland,1,$4799.18
Westchester,20,$201933.47
Orange,10,$65713.08
Genesee,3,$18279.34
Madison,95,$3486124.59
Bronx,0,$0.00
New York,1,$28075.22
Kings,9,$45890.24
Montgomery,48,$1614301.17
Otsego,6,$92584.66
Oneida,154,$3676515.79
Washington,2,$8088.07
Wayne,0,$0.00
Allegany,0,$0.00
Livingston,0,$0.00
Chenango,12,$204374.58
Delaware,2,$16888.98
Schoharie,5,$49910.42
Ulster,4,$48070.83
Columbia,0,$0.00
Steuben,0,$0.00
Ontario,1,$24187.11
Chemung,3,$12529.09
Tompkins,2,$22872.78
Cortland,35,$257495.04
Cayuga,1,$4786.47
Oswego,0,$0.00
Putnam,1,$6685.42
Lewis,0,$0.00
Seneca,1,$2337.99
Hamilton,1,$2223.44
Clinton,1,$1124.82
Rensselaer,0,$0.00
Greene,3,$16358.10
Dutchess,7,$53892.28
Richmond,3,$33452.15
Schuyler,0,$0.00
Sullivan,0,$0.00
Warren,0,$0.00
Broome,3,$22689.60
Schenectady,1,$5773.27
Tioga,1,$792.83
Franklin,1,$52261.89
Onondaga,2,$6245.02
Yates,0,$0.00
