Name,Total Paid Claims,Total Claim Dollars Paid
Creek,0,$0.00
Lincoln,0,$0.00
Garvin,1,$16592.67
Grady,1,$2593.82
Harper,0,$0.00
Woods,0,$0.00
Blaine,0,$0.00
Canadian,0,$0.00
Kiowa,0,$0.00
Caddo,0,$0.00
Stephens,0,$0.00
Tillman,0,$0.00
Cotton,0,$0.00
Logan,0,$0.00
Noble,0,$0.00
Adair,0,$0.00
Delaware,0,$0.00
Okfuskee,0,$0.00
Custer,0,$0.00
Beckham,0,$0.00
Greer,0,$0.00
Harmon,0,$0.00
Carter,1,$4386.19
Marshall,0,$0.00
Major,0,$0.00
Kingfisher,0,$0.00
Craig,0,$0.00
Pontotoc,0,$0.00
Pottawatomie,0,$0.00
Rogers,0,$0.00
Washington,0,$0.00
Kay,4,$50648.13
Garfield,0,$0.00
Cherokee,1,$1346.58
Oklahoma,0,$0.00
Choctaw,0,$0.00
Atoka,0,$0.00
McClain,0,$0.00
Le Flore,0,$0.00
Haskell,0,$0.00
Alfalfa,0,$0.00
Latimer,0,$0.00
Cleveland,1,$4732.40
Ellis,0,$0.00
Beaver,0,$0.00
Comanche,0,$0.00
Jefferson,0,$0.00
Payne,1,$5024.65
Okmulgee,0,$0.00
Wagoner,0,$0.00
Roger Mills,0,$0.00
Dewey,0,$0.00
Pawnee,0,$0.00
Tulsa,0,$0.00
McIntosh,0,$0.00
Johnston,0,$0.00
Sequoyah,0,$0.00
Muskogee,0,$0.00
Bryan,0,$0.00
McCurtain,0,$0.00
Ottawa,1,$13679.11
Hughes,0,$0.00
Pittsburg,0,$0.00
Coal,0,$0.00
Washita,0,$0.00
Cimarron,0,$0.00
Nowata,0,$0.00
Osage,0,$0.00
Grant,0,$0.00
Love,0,$0.00
Pushmataha,0,$0.00
Texas,0,$0.00
Woodward,1,$5293.87
Jackson,0,$0.00
Mayes,0,$0.00
Murray,0,$0.00
Seminole,0,$0.00
