Name,Total Paid Claims,Total Claim Dollars Paid
Bibb,0,$0.00
Baldwin,2,$23650.99
Crenshaw,0,$0.00
Lowndes,0,$0.00
Winston,0,$0.00
Franklin,2,$45011.56
Limestone,1,$27150.48
Lawrence,2,$8421.17
Covington,0,$0.00
Geneva,0,$0.00
Marshall,0,$0.00
Jackson,0,$0.00
Blount,0,$0.00
Etowah,1,$6590.75
Butler,0,$0.00
Escambia,0,$0.00
Monroe,0,$0.00
Wilcox,0,$0.00
Lauderdale,7,$174689.16
Colbert,16,$592150.57
Perry,0,$0.00
Marengo,1,$6961.55
Pickens,14,$275514.88
Sumter,1,$10155.22
Mobile,14,$541547.09
Greene,9,$299014.93
Dallas,0,$0.00
Autauga,0,$0.00
Montgomery,7,$124891.71
Jefferson,7,$175102.53
Chilton,0,$0.00
Washington,0,$0.00
Choctaw,0,$0.00
Coffee,0,$0.00
Cleburne,0,$0.00
Talladega,0,$0.00
Cullman,0,$0.00
Dale,0,$0.00
Cherokee,7,$91538.94
Pike,0,$0.00
Conecuh,0,$0.00
Tallapoosa,0,$0.00
Randolph,0,$0.00
Coosa,0,$0.00
Clay,0,$0.00
Marion,0,$0.00
Walker,0,$0.00
Bullock,0,$0.00
Russell,1,$21094.28
Shelby,1,$9041.79
Hale,0,$0.00
Lee,0,$0.00
Madison,15,$221455.91
Clarke,0,$0.00
Calhoun,2,$41609.89
Morgan,13,$190446.65
Chambers,0,$0.00
Henry,0,$0.00
Houston,1,$1477.61
DeKalb,0,$0.00
Barbour,0,$0.00
Fayette,0,$0.00
Tuscaloosa,3,$53833.41
Macon,0,$0.00
Lamar,0,$0.00
St. Clair,1,$426641.31
Elmore,0,$0.00
