Name,Total Paid Claims,Total Claim Dollars Paid
Sauk,0,$0.00
Iowa,0,$0.00
Ashland,0,$0.00
Bayfield,0,$0.00
Sawyer,0,$0.00
Columbia,5,$39694.23
Adams,5,$18326.55
Oneida,0,$0.00
Price,0,$0.00
Chippewa,0,$0.00
Clark,0,$0.00
Outagamie,1,$1453.14
Shawano,1,$13003.18
Lincoln,0,$0.00
Jefferson,0,$0.00
Dodge,0,$0.00
Vilas,0,$0.00
Forest,0,$0.00
Green Lake,0,$0.00
Waushara,5,$166975.93
Green,0,$0.00
Rock,3,$23769.16
Walworth,10,$187164.07
Barron,0,$0.00
Pierce,5,$457409.99
Dunn,1,$29092.71
Rusk,0,$0.00
Taylor,0,$0.00
Racine,5,$49491.97
Jackson,0,$0.00
Eau Claire,0,$0.00
Oconto,7,$194846.21
Brown,10,$86751.82
Milwaukee,6,$154767.51
Ozaukee,2,$19227.47
Richland,0,$0.00
Crawford,1,$12791.48
Waukesha,1,$2445.19
Juneau,1,$9980.83
Vernon,3,$2769.52
Dane,2,$253998.78
Iron,0,$0.00
Waupaca,0,$0.00
Winnebago,0,$0.00
Kewaunee,0,$0.00
Portage,0,$0.00
Calumet,0,$0.00
La Crosse,0,$0.00
Marathon,1,$5042.38
Burnett,3,$81252.59
Trempealeau,0,$0.00
Washburn,0,$0.00
Pepin,0,$0.00
Wood,0,$0.00
Grant,1,$4063.53
Lafayette,0,$0.00
Sheboygan,6,$181168.11
Marquette,0,$0.00
Langlade,0,$0.00
Menominee,0,$0.00
Washington,0,$0.00
St. Croix,16,$700910.27
Florence,0,$0.00
Fond du Lac,3,$28207.00
Monroe,1,$11857.69
Buffalo,0,$0.00
Door,4,$33821.20
Polk,0,$0.00
Marinette,5,$170607.67
Douglas,2,$200196.14
Kenosha,3,$115391.88
Manitowoc,0,$0.00
