Name,Total Paid Claims,Total Claim Dollars Paid
St. Bernard,0,$0.00
Tangipahoa,1525,$98211524.25
Jefferson,93,$1564340.17
Bienville,6,$182093.98
Natchitoches,109,$5558752.99
Iberville,61,$4742945.40
Pointe Coupee,156,$5498705.04
Terrebonne,3,$143095.52
Vernon,56,$3518989.58
Rapides,49,$2193709.99
Calcasieu,76,$2866057.87
Cameron,7,$229615.80
Assumption,1,$22934.42
Lafourche,9,$62073.78
East Carroll,9,$333500.57
Richland,76,$4036845.49
St. Tammany,822,$54122768.42
West Baton Rouge,21,$734204.96
West Feliciana,18,$1377571.26
Allen,9,$386932.92
St. Charles,9,$86724.59
Lincoln,6,$137425.84
Ouachita,1566,$89517821.53
St. Mary,5,$86232.81
East Feliciana,19,$1550705.86
St. John the Baptist,6,$137814.12
Vermilion,860,$54409133.00
Plaquemines,1,$4394.53
Iberia,333,$16515256.43
East Baton Rouge,10600,$1077716599.49
Concordia,11,$342458.21
Caddo,221,$10679057.08
Red River,2,$72964.56
Bossier,239,$12100666.06
De Soto,7,$306738.55
Madison,7,$109129.18
Tensas,0,$0.00
Caldwell,56,$1631815.49
Jackson,1,$10937.31
Evangeline,59,$2548909.73
Orleans,19,$352486.51
St. Martin,265,$12939638.87
LaSalle,22,$930738.16
Avoyelles,36,$895040.37
Jefferson Davis,66,$3013775.11
Beauregard,12,$782868.58
Lafayette,2353,$193981247.42
Claiborne,26,$1553105.68
Catahoula,73,$1991258.21
Washington,157,$8042848.24
Morehouse,68,$4581960.70
St. Helena,25,$1978316.76
Franklin,5,$138190.92
West Carroll,23,$1198770.55
St. James,32,$805870.76
Ascension,3541,$310426632.32
Livingston,7240,$734663334.24
Union,126,$6394341.40
Winn,16,$1033655.21
Grant,40,$1563430.63
Webster,59,$4387569.24
Sabine,9,$268427.49
Acadia,519,$22259141.24
St. Landry,258,$11642775.66
