Name,Total Paid Claims,Total Claim Dollars Paid
Worcester,5,$49048.90
Somerset,2,$13563.34
St. Mary's,102,$2181724.47
Dorchester,7,$100940.03
Howard,8,$217883.70
Frederick,4,$79240.65
Montgomery,21,$534879.62
Garrett,0,$0.00
Anne Arundel,11,$571715.99
Prince George's,59,$1326534.29
Charles,31,$706861.70
Baltimore,14,$645584.14
Baltimore,20,$333669.41
Allegany,0,$0.00
Washington,5,$191563.39
Queen Anne's,6,$22347.67
Talbot,3,$9739.58
Caroline,9,$164440.16
Wicomico,0,$0.00
Carroll,0,$0.00
Cecil,1,$5442.01
Kent,0,$0.00
Calvert,29,$342706.35
Harford,5,$68844.85
