Name,Total Paid Claims,Total Claim Dollars Paid
Whitman,0,$0.00
Lincoln,0,$0.00
Wahkiakum,0,$0.00
Skagit,11,$97579.56
Pierce,1,$7071.44
Jefferson,0,$0.00
Thurston,0,$0.00
Grays Harbor,0,$0.00
Stevens,0,$0.00
Whatcom,9,$317276.89
Okanogan,0,$0.00
Pacific,0,$0.00
San Juan,0,$0.00
Ferry,0,$0.00
Franklin,0,$0.00
Adams,0,$0.00
Asotin,0,$0.00
Kitsap,1,$5644.32
Mason,0,$0.00
Lewis,2,$63139.54
Columbia,0,$0.00
Island,1,$5602.45
Clark,0,$0.00
Kittitas,0,$0.00
Douglas,0,$0.00
Garfield,0,$0.00
Cowlitz,1,$790.35
Walla Walla,1,$6295.93
Benton,0,$0.00
Snohomish,4,$75201.24
Chelan,0,$0.00
King,4,$41308.88
Grant,0,$0.00
Spokane,0,$0.00
Pend Oreille,0,$0.00
Clallam,0,$0.00
Skamania,0,$0.00
Klickitat,0,$0.00
Yakima,0,$0.00
