Name,Total Paid Claims,Total Claim Dollars Paid
Lake,6,$102271.11
Cuyahoga,69,$1257281.79
Medina,6,$53984.37
Summit,5,$15354.70
Hancock,61,$353934.54
Wood,4,$10383.29
Defiance,19,$77284.39
Huron,1,$1038.42
Lorain,3,$2965.64
Scioto,2,$746.74
Lawrence,4,$22662.12
Brown,0,$0.00
Adams,0,$0.00
Franklin,39,$511814.04
Harrison,0,$0.00
Belmont,15,$129623.48
Jefferson,12,$69100.02
Meigs,0,$0.00
Vinton,0,$0.00
Jackson,3,$4108.30
Athens,11,$40822.66
Guernsey,3,$56108.17
Coshocton,5,$15289.07
Pickaway,2,$34526.60
Madison,0,$0.00
Fairfield,9,$28436.67
Fayette,0,$0.00
Ross,2,$3898.56
Highland,0,$0.00
Marion,4,$7547.50
Hardin,0,$0.00
Shelby,9,$16128.62
Logan,1,$14000.00
Van Wert,0,$0.00
Putnam,6,$12139.68
Portage,0,$0.00
Trumbull,8,$85407.29
Geauga,1,$280.00
Ashtabula,5,$47317.66
Sandusky,4,$8532.65
Seneca,3,$24282.32
Warren,2,$5249.63
Butler,7,$23764.94
Montgomery,8,$57973.02
Crawford,2,$11033.22
Hamilton,23,$154073.10
Hocking,4,$50740.76
Darke,1,$27611.80
Carroll,0,$0.00
Stark,12,$43665.69
Holmes,2,$8424.12
Mahoning,10,$80949.13
Ashland,0,$0.00
Delaware,7,$65221.77
Knox,0,$0.00
Auglaize,3,$11594.26
Licking,22,$174482.86
Lucas,11,$47853.11
Henry,6,$19150.88
Williams,0,$0.00
Tuscarawas,1,$13772.79
Perry,5,$15115.36
Pike,3,$8941.88
Clermont,2,$24918.40
Clinton,0,$0.00
Union,0,$0.00
Champaign,1,$299.30
Miami,4,$4321.68
Allen,2,$7386.78
Clark,3,$58516.64
Mercer,0,$0.00
Gallia,0,$0.00
Morrow,0,$0.00
Monroe,0,$0.00
Preble,0,$0.00
Muskingum,3,$13164.82
Richland,4,$7384.26
Fulton,0,$0.00
Washington,27,$102331.05
Wyandot,0,$0.00
Wayne,3,$4497.40
Morgan,0,$0.00
Greene,1,$8835.98
Erie,1,$550.00
Paulding,0,$0.00
Columbiana,7,$24838.10
Ottawa,1,$14913.24
Noble,0,$0.00
