Name,Total Paid Claims,Total Claim Dollars Paid
Ocean,309,$5469730.98
Atlantic,28,$863236.75
Burlington,21,$180761.05
Monmouth,323,$7605389.87
Cape May,9,$122366.12
Passaic,919,$14250579.84
Hunterdon,217,$6497968.05
Union,20,$88903.65
Hudson,23,$535658.95
Warren,246,$10720330.46
Cumberland,5,$45334.83
Salem,4,$14698.79
Sussex,6,$157693.51
Somerset,15,$244838.65
Morris,397,$5217139.12
Middlesex,69,$790118.59
Gloucester,10,$109630.24
Camden,13,$81088.30
Essex,63,$869928.54
Bergen,175,$3065793.25
Mercer,202,$2764177.13
